EAGLE Version 9.4.1 Copyright (c) 1988-2019 Autodesk, Inc.
List of signals with length and its max. frequency / current
exported from E:/Dropbox/Eagle Projects/DLT/DLT_Jetson_Nano.brd
at 17.05.2019 01:17
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
TMDS_CLK_C1_N	  24288.90	 12.343	0.005	  40.26	 0.152	 0.152	  0.50
TMDS_CLK_C1_P	  24707.87	 12.134	0.005	  39.58	 0.152	 0.152	  0.50
TMDS_D1_N	  25668.09	 11.680	0.005	  38.10	 0.152	 0.152	  0.50
TMDS_D1_P	  27877.36	 10.754	0.005	  35.08	 0.152	 0.152	  0.50
N$2	  29944.97	 10.012	0.005	  32.66	 0.152	 0.152	  0.50
EDP3_TX_C_N	  31832.13	  9.418	0.005	  30.72	 0.152	 0.152	  0.50
EDP3_TX_C_P	  31907.99	  9.396	0.005	  30.65	 0.152	 0.152	  0.50
EDP0_TX_C_N	  32206.77	  9.309	0.005	  30.37	 0.152	 0.152	  0.50
EDP0_TX_C_P	  32281.64	  9.287	0.005	  30.30	 0.152	 0.152	  0.50
EDP2_TX_C_N	  32353.97	  9.266	0.005	  30.23	 0.152	 0.152	  0.50
EDP2_TX_C_P	  32766.45	  9.150	0.005	  29.85	 0.152	 0.152	  0.50
EDP1_TX_C_N	  32970.77	  9.093	0.005	  29.66	 0.152	 0.152	  0.50
EDP1_TX_C_P	  33242.23	  9.019	0.005	  29.42	 0.152	 0.152	  0.50
TMDS_CLK_N	  33575.80	  8.929	0.005	  29.13	 0.152	 0.152	  0.50
TMDS_CLK_P	  33615.41	  8.919	0.005	  29.09	 0.152	 0.152	  0.50
N$3	  34651.56	  8.652	0.005	  28.22	 0.152	 0.152	  0.50
#SHUTDOWN_REQ	  35440.62	  8.459	0.011	  13.80	 0.305	 0.305	  0.95
TMDS_D2_C1_P	  35704.82	  8.397	0.005	  27.39	 0.152	 0.152	  0.50
TMDS_D2_C1_N	  35860.94	  8.360	0.005	  27.27	 0.152	 0.152	  0.50
N$1	  39226.49	  7.643	0.005	  24.93	 0.152	 0.152	  0.50
TMDS_CLK_C_N	  42190.22	  7.106	0.005	  23.18	 0.152	 0.152	  0.50
TMDS_CLK_C_P	  42539.78	  7.048	0.005	  22.99	 0.152	 0.152	  0.50
TMDS_D1_C1_P	  42775.34	  7.009	0.005	  22.86	 0.152	 0.152	  0.50
TMDS_D1_C1_N	  43218.88	  6.937	0.005	  22.63	 0.152	 0.152	  0.50
TMDS_D0_C1_N	  43595.90	  6.877	0.005	  22.43	 0.152	 0.152	  0.50
TMDS_D0_C1_P	  44164.44	  6.788	0.005	  22.14	 0.152	 0.152	  0.50
N$7	  49737.53	  6.028	0.036	   2.95	 1.016	 1.016	  3.01
TMDS_D0_C_N	  51481.93	  5.823	0.005	  19.00	 0.152	 0.152	  0.50
N$8	  51614.58	  5.808	0.036	   2.84	 1.016	 1.016	  3.01
TMDS_D0_C_P	  53177.55	  5.638	0.005	  18.39	 0.152	 0.152	  0.50
TMDS_D1_C_P	  53357.06	  5.619	0.005	  18.33	 0.152	 0.152	  0.50
TMDS_D1_C_N	  56478.10	  5.308	0.005	  17.32	 0.152	 0.152	  0.50
TMDS_D2_C_N	  58423.86	  5.131	0.005	  16.74	 0.152	 0.152	  0.50
TMDS_D2_C_P	  59173.27	  5.066	0.005	  16.53	 0.152	 0.152	  0.50
EDP_AUX_N	  65394.64	  4.584	0.005	  14.95	 0.152	 0.152	  0.50
EDP_AUX_P	  66307.67	  4.521	0.005	  14.75	 0.152	 0.152	  0.50
TMDS_D0_N	  69749.14	  4.298	0.005	  14.02	 0.152	 0.152	  0.50
TMDS_D0_P	  69851.54	  4.292	0.005	  14.00	 0.152	 0.152	  0.50
TMDS_D2_P	  76305.08	  3.929	0.005	  12.82	 0.152	 0.152	  0.50
TMDS_D2_N	  76316.83	  3.928	0.005	  12.81	 0.152	 0.152	  0.50
N$12	  79403.00	  3.776	0.005	  12.32	 0.152	 0.152	  0.50
N$13	  89896.40	  3.335	0.005	  10.88	 0.152	 0.152	  0.50
N$14	  98376.38	  3.047	0.005	   9.94	 0.152	 0.152	  0.50
N$9	  99133.84	  3.024	0.005	   9.87	 0.152	 0.152	  0.50
N$6	 105764.17	  2.835	0.005	   9.25	 0.152	 0.152	  0.50
