"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"PROD_ID";"VALUE";
"FB7";".25/3A";"FERRITE_BEAD-0603";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"";"";"NDUC-13805";"30Ω/1.8A";
"IC1";"TPD8S009DSMR";"TPD8S009DSMR";"TPD8S009DSMR";"8-Channel ESD Solution for HDMI/DisplayPort";"";"8-Channel ESD Solution for HDMI/DisplayPort";"0mm";"Texas Instruments";"TPD8S009DSMR";"";"595-TPD8S009DSMR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPD8S009DSMR";"";"";"";"";"";
"IC2";"TPD8S009DSMR";"TPD8S009DSMR";"TPD8S009DSMR";"8-Channel ESD Solution for HDMI/DisplayPort";"";"8-Channel ESD Solution for HDMI/DisplayPort";"0mm";"Texas Instruments";"TPD8S009DSMR";"";"595-TPD8S009DSMR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPD8S009DSMR";"";"";"";"";"";
"IC3";"TLV70018DCKR";"TLV70018DCKR";"SOT65P210X110-5N";"200-mA, Low-IQ, Low-Dropout Regulator for Portable Devices";"";"200-mA, Low-IQ, Low-Dropout Regulator for Portable Devices";"mm";"Texas Instruments";"TLV70018DCKR";"";"595-TLV70018DCKR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TLV70018DCKR";"";"";"";"";"";
"J1";"2309409-1";"2309409-1";"2309409-1";"TE CONNECTIVITY - 2309409-1 - CONN, DDR4 SODIMM SOCKET, 260POS, 0.5MM";"";"TE CONNECTIVITY - 2309409-1 - CONN, DDR4 SODIMM SOCKET, 260POS, 0.5MM";"mm";"TE Connectivity";"2309409-1";"";"571-2309409-1";"https://www.mouser.com/Search/Refine.aspx?Keyword=571-2309409-1";"";"";"";"";"";
"J2";"54132-3062";"54132-3062";"54132-3062";"Connector 0.5mm, FFC/FPC, SMT,r/a,30w,Au Molex FFC/FPC SMT Series 0.5mm Pitch 30 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"";"Connector 0.5mm, FFC/FPC, SMT,r/a,30w,Au Molex FFC/FPC SMT Series 0.5mm Pitch 30 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact";"mm";"Molex";"54132-3062";"";"538-54132-3062";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-54132-3062";"";"";"";"";"";
"J3";"505110-1092";"505110-1092";"5051101092";"Molex Easy-On Series 0.5mm Pitch 10 Way Right Angle SMT Male FPC Connector, ZIF Bottom Contact";"";"Molex Easy-On Series 0.5mm Pitch 10 Way Right Angle SMT Male FPC Connector, ZIF Bottom Contact";"0mm";"Molex";"505110-1092";"";"538-505110-1092";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-505110-1092";"";"";"";"";"";
"J4";"505110-1092";"505110-1092";"5051101092";"Molex Easy-On Series 0.5mm Pitch 10 Way Right Angle SMT Male FPC Connector, ZIF Bottom Contact";"";"Molex Easy-On Series 0.5mm Pitch 10 Way Right Angle SMT Male FPC Connector, ZIF Bottom Contact";"0mm";"Molex";"505110-1092";"";"538-505110-1092";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-505110-1092";"";"";"";"";"";
"J5";"505110-1092";"505110-1092";"5051101092";"Molex Easy-On Series 0.5mm Pitch 10 Way Right Angle SMT Male FPC Connector, ZIF Bottom Contact";"";"Molex Easy-On Series 0.5mm Pitch 10 Way Right Angle SMT Male FPC Connector, ZIF Bottom Contact";"0mm";"Molex";"505110-1092";"";"538-505110-1092";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-505110-1092";"";"";"";"";"";
"J6";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"505110-2091";"505110-2091";"5051102091";"MOLEX - 505110-2091 - CONNECTOR, FFC/FPC, 20POS, 1ROW, 0.5MM";"";"MOLEX - 505110-2091 - CONNECTOR, FFC/FPC, 20POS, 1ROW, 0.5MM";"2.1mm";"Molex";"505110-2091";"";"538-505110-2091";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-505110-2091";"";"";"";"";"";
